manifold,surface,monodromy,dilatation,polynomial coefficients,singularity orders,puncture orders,primitive,abelian
11a79,S_4_1,abCBdcEDfegJ,2.82587259469,"[1, -5, 6, 4, -11, -3, 16, 6, -27, 6, 16, -3, -11, 4, 6, -5, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 5]",[5],True,False
11a80,S_4_1,aBCdEDfegJ,2.57827639156,"[1, -5, 7, 1, -10, 6, 0, 4, -9, 4, 0, 6, -10, 1, 7, -5, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 5]",[5],True,False
11a81,S_4_1,aBCdEDGjeF,2.60979558237,"[1, -5, 7, 1, -12, 12, 0, -12, 17, -12, 0, 12, -12, 1, 7, -5, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 5]",[5],True,False
11a82,S_4_1,abCDEFGj,2.47459284198,"[1, -3, 2, -3, 4, -2, 0, -2, 4, -3, 2, -3, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4]",[4],True,False
11a83,S_4_1,abCDefgj,2.70411118288,"[1, -3, 3, -8, 8, -9, 9, -9, 8, -8, 3, -3, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4]",[4],True,False
11a86,S_4_1,abcdCeDfEgHJ,2.58997851361,"[1, -3, 1, -1, 3, 0, -2, 4, 2, 4, -2, 0, 3, -1, 1, -3, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4]",[4],True,False
11a88,S_4_1,abcdCedFEGHJ,2.53814324766,"[1, -2, -2, 1, 1, 1, 1, 1, -2, -2, 1]","[3, 3, 3, 3, 3, 3, 4, 4, 4]",[4],True,False
11a92,S_4_1,aBCDefgj,2.54502239104,"[1, -2, -2, 2, 0, -3, 0, 2, -2, -2, 1]","[3, 3, 3, 3, 3, 3, 4, 4, 4]",[4],True,False
11a99,S_4_1,abCBdCeFEDgfEJ,2.88934124246,"[1, -4, 1, 8, -3, -6, 2, 4, 2, -6, -3, 8, 1, -4, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 5]",[5],True,False
11a106,S_4_1,abcdCeDfEGHJ,2.54204886301,"[1, -1, -2, -4, -2, -1, 1]","[3, 3, 3, 3, 4, 5, 5]",[4],True,False
11a108,S_4_1,aBcDCedFEGHj,2.37627400498,"[1, -3, 2, -2, 2, 1, -4, 1, 2, -2, 2, -3, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4]",[4],True,False
11a109,S_4_1,abcDCedFEGHj,2.4571966093,"[1, -3, 3, -7, 10, -11, 13, -11, 10, -7, 3, -3, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4]",[4],True,False
11a125,S_4_1,abAcbdCdedFEGJ,3.11319471714,"[1, -3, 0, -2, 3, -3, 6, 3, 6, -3, 3, -2, 0, -3, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 5]",[5],True,False
11a126,S_4_1,abAcbdCdEFGJ,3.01116457748,"[1, -2, -3, 0, -2, 5, -2, 5, -2, 0, -3, -2, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4]",[4],True,False
11a127,S_4_1,abcBdcEDfegJ,3.09258883287,"[1, -3, 0, 0, -3, 1, -2, 5, -2, 1, -3, 0, 0, -3, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 5]",[5],True,False
11a129,S_4_1,abcBdceDfEgJ,3.25586813159,"[1, -4, 1, 8, -11, -5, 19, -5, -11, 8, 1, -4, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 5]",[5],True,False
